"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Mocodes","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","Status","Status.Desc","Crm.Cd.1","Crm.Cd.2","Crm.Cd.3","Crm.Cd.4","LOCATION","Cross.Street","LAT","LON"
221015205,"10/13/2022 12:00:00 AM","10/13/2022 12:00:00 AM",1553,10,"West Valley",1015,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","0913 1906",31,"M","A",101,"STREET",NA,"","IC","Invest Cont",956,NA,NA,NA,"7200    YARMOUTH                     AV","",34.2012,-118.5197
201306182,"02/08/2020 12:00:00 AM","02/08/2020 12:00:00 AM",1135,13,"Newton",1343,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"3500 S  SAN PEDRO                    ST","",34.0145,-118.2658
201607139,"03/15/2020 12:00:00 AM","03/14/2020 12:00:00 AM",2300,16,"Foothill",1641,1,330,"BURGLARY FROM VEHICLE","0344 1307",22,"F","H",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"HADDON","GARBER",34.2545,-118.4217
210813201,"08/24/2021 12:00:00 AM","08/24/2021 12:00:00 AM",2000,8,"West LA",841,1,310,"BURGLARY","0344 1221 1606 1822 1267 2004",42,"M","A",505,"MOTEL",NA,"","IC","Invest Cont",310,NA,NA,NA,"12000    SANTA MONICA                 BL","",34.0423,-118.4656
211001031,"10/21/2021 12:00:00 AM","10/21/2021 12:00:00 AM",1930,10,"West Valley",1033,1,220,"ATTEMPTED ROBBERY","2051 2004 0910 0337 2049 1822 1420 0421",38,"F","H",801,"MTA BUS",511,"VERBAL THREAT","AA","Adult Arrest",220,998,NA,NA,"RESEDA                       BL","VICTORY                      BL",34.1866,-118.536
210415086,"11/18/2021 12:00:00 AM","11/18/2021 12:00:00 AM",1725,4,"Hollenbeck",457,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0913 2000 1814 0444 0448",36,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"600 N  SOTO                         ST","",34.0495,-118.2061
211219268,"09/08/2021 12:00:00 AM","09/08/2021 12:00:00 AM",1350,12,"77th Street",1256,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"7200 S  BROADWAY","",33.9727,-118.285
210707781,"04/17/2021 12:00:00 AM","04/17/2021 12:00:00 AM",1400,7,"Wilshire",702,2,664,"BUNCO, PETTY THEFT","1309 0344",18,"M","H",102,"SIDEWALK",NA,"","IC","Invest Cont",664,NA,NA,NA,"7500    MELROSE                      AV","",34.0837,-118.3533
200612522,"07/13/2020 12:00:00 AM","07/11/2020 12:00:00 AM",2310,6,"Hollywood",636,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822",0,"X","X",402,"MARKET",NA,"","IC","Invest Cont",440,NA,NA,NA,"6600 W  HOLLYWOOD                    BL","",34.1034,-118.3325
200604028,"01/01/2020 12:00:00 AM","01/01/2020 12:00:00 AM",615,6,"Hollywood",663,2,624,"BATTERY - SIMPLE ASSAULT","0416",32,"M","W",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6700    SANTA MONICA                 BL","",34.0907,-118.3363
201715285,"11/12/2020 12:00:00 AM","11/11/2020 12:00:00 AM",1930,17,"Devonshire",1754,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"18500    MAYALL                       ST","",34.2533,-118.5361
211305849,"02/11/2021 12:00:00 AM","02/11/2021 12:00:00 AM",1940,13,"Newton",1343,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1300 0329 1307",0,"X","X",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"MARTIN LUTHER KING JR        BL","AVALON",34.0111,-118.2653
201217272,"07/27/2020 12:00:00 AM","07/13/2020 12:00:00 AM",900,12,"77th Street",1213,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822",35,"M","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"5400 S  WILTON                       PL","",33.9927,-118.315
202110258,"06/08/2020 12:00:00 AM","06/08/2020 12:00:00 AM",150,21,"Topanga",2115,2,624,"BATTERY - SIMPLE ASSAULT","0906 0416",24,"M","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"21900    LANARK                       ST","",34.2176,-118.6031
212004739,"01/19/2021 12:00:00 AM","01/19/2021 12:00:00 AM",1000,20,"Olympic",2022,2,624,"BATTERY - SIMPLE ASSAULT","0603 0913 0429 0444 0361",34,"M","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"4200 W  4TH                          ST","",34.0672,-118.311
210618510,"11/03/2021 12:00:00 AM","11/02/2021 12:00:00 AM",1045,6,"Hollywood",645,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 1822 1501",29,"F","O",116,"OTHER/OUTSIDE",NA,"","IC","Invest Cont",341,NA,NA,NA,"1700 N  ORANGE                       DR","",34.1015,-118.3417
220507769,"04/09/2022 12:00:00 AM","04/08/2022 12:00:00 AM",300,5,"Harbor",584,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 0385 1202 1300",80,"F","W",104,"DRIVEWAY",NA,"","IC","Invest Cont",331,NA,NA,NA,"3600    ALMERIA                      ST","",33.7149,-118.3019
221814285,"07/14/2022 12:00:00 AM","07/14/2022 12:00:00 AM",2150,18,"Southeast",1881,1,343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0104 1822 0325 0202",0,"F","H",405,"CLOTHING STORE",NA,"","IC","Invest Cont",343,NA,NA,NA,"700 W  REDONDO BEACH                BL","",33.8926,-118.2874
211709542,"06/15/2021 12:00:00 AM","06/09/2021 12:00:00 AM",2306,17,"Devonshire",1701,2,940,"EXTORTION","1823 1202 1913 1915 0913 0337",69,"M","W",501,"SINGLE FAMILY DWELLING",511,"VERBAL THREAT","IC","Invest Cont",940,NA,NA,NA,"11900    MARIPOSA BAY                 LN","",34.2869,-118.5689
210516016,"11/13/2021 12:00:00 AM","11/12/2021 12:00:00 AM",1930,5,"Harbor",504,1,330,"BURGLARY FROM VEHICLE","0344 1302 1612",49,"M","H",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"1400 W  KNOX                         ST","",33.8542,-118.2994
201409266,"04/04/2020 12:00:00 AM","04/04/2020 12:00:00 AM",327,14,"Pacific",1472,1,320,"BURGLARY, ATTEMPTED","1607 0397 1501 1402",0,"X","X",203,"OTHER BUSINESS",NA,"","AO","Adult Other",320,998,NA,NA,"300    CULVER                       BL","",33.9596,-118.4476
211006188,"03/13/2021 12:00:00 AM","03/13/2021 12:00:00 AM",1000,10,"West Valley",1033,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1813 0913 1309 0448 0400",48,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"6200    RESEDA                       BL","",34.1847,-118.5441
212016692,"11/06/2021 12:00:00 AM","11/06/2021 12:00:00 AM",1207,20,"Olympic",2019,2,624,"BATTERY - SIMPLE ASSAULT","0319 0416 0446 1822",21,"M","H",242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"100 S  VERMONT                      AV","",34.0728,-118.2917
211606698,"04/06/2021 12:00:00 AM","04/06/2021 12:00:00 AM",510,16,"Foothill",1654,1,210,"ROBBERY","0344 0421 0945",0,"M","X",401,"MINI-MART",511,"VERBAL THREAT","IC","Invest Cont",210,NA,NA,NA,"10700    GLENOAKS                     BL","",34.264,-118.4012
210608372,"04/13/2021 12:00:00 AM","04/13/2021 12:00:00 AM",400,6,"Hollywood",643,1,210,"ROBBERY","0344 1309 0906 1822 1300 0334",31,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"SELMA","SCHRADER",34.1007,-118.3494
210811909,"07/20/2021 12:00:00 AM","07/04/2021 12:00:00 AM",1,8,"West LA",855,2,354,"THEFT OF IDENTITY","0100",33,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"1600    GREENFIELD                   AV","",34.049,-118.4417
220509358,"05/21/2022 12:00:00 AM","05/21/2022 12:00:00 AM",1530,5,"Harbor",526,1,210,"ROBBERY","0913 0344 0104 0334 0202",0,"X","X",256,"",102,"HAND GUN","IC","Invest Cont",210,998,NA,NA,"100 W  ANAHEIM                      ST","",33.78,-118.2624
201411125,"05/19/2020 12:00:00 AM","05/02/2020 12:00:00 AM",2200,14,"Pacific",1483,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344",25,"M","O",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",420,NA,NA,NA,"9300    LINCOLN                      BL","",33.9552,-118.4141
201108382,"04/10/2020 12:00:00 AM","03/20/2020 12:00:00 AM",1237,11,"Northeast",1118,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0446",35,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"600 N  AVE 56","",34.1159,-118.1976
211011605,"08/24/2021 12:00:00 AM","08/24/2021 12:00:00 AM",1000,10,"West Valley",1009,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0445 0400 0913 1402 1817 0361 2004 1218",27,"F","H",102,"SIDEWALK",312,"PIPE/METAL PIPE","AO","Adult Other",230,998,NA,NA,"HASKELL","ROSCOE",34.2214,-118.4749
211707018,"03/29/2021 12:00:00 AM","03/29/2021 12:00:00 AM",1900,17,"Devonshire",1767,2,625,"OTHER ASSAULT","1300 1822 0356",38,"M","H",123,"PARKING UNDERGROUND/BUILDING",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",625,NA,NA,NA,"9500    RESEDA                       BL","",34.2427,-118.5361
201409865,"04/21/2020 12:00:00 AM","04/20/2020 12:00:00 AM",1630,14,"Pacific",1469,1,421,"THEFT FROM MOTOR VEHICLE - ATTEMPT","0344 1300",0,"X","X",710,"OTHER PREMISE",NA,"","IC","Invest Cont",421,NA,NA,NA,"6900    LA TIJERA                    BL","",33.9761,-118.3732
220110345,"04/13/2022 12:00:00 AM","04/02/2022 12:00:00 AM",345,1,"Central",162,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","2032 0345 0910 0344 1822",30,"F","B",903,"MTA - RED LINE - 7TH AND METRO CENTER",NA,"","IC","Invest Cont",440,NA,NA,NA,"7TH                          ST","FLOWER                       ST",34.049,-118.2592
210615743,"09/11/2021 12:00:00 AM","09/11/2021 12:00:00 AM",325,6,"Hollywood",639,2,624,"BATTERY - SIMPLE ASSAULT","1822 0400 0416",0,"M","O",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5100    HOLLYWOOD                    BL","",34.1036,-118.3049
200118064,"09/16/2020 12:00:00 AM","09/16/2020 12:00:00 AM",2115,1,"Central",185,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0416 1813",27,"F","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",626,NA,NA,NA,"1200 S  BROADWAY","",34.0377,-118.2607
201411993,"06/07/2020 12:00:00 AM","06/07/2020 12:00:00 AM",2300,14,"Pacific",1468,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329",19,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","AO","Adult Other",745,NA,NA,NA,"11800    ALLIN                        ST","",33.9924,-118.4105
200900911,"11/19/2020 12:00:00 AM","11/19/2020 12:00:00 AM",1320,9,"Van Nuys",905,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 0445 1402 2004 0906 1822 0371 1414",36,"M","H",101,"STREET",305,"FIXED OBJECT","AA","Adult Arrest",230,998,NA,NA,"7300    VISTA DEL MONTE              AV","",34.203,-118.4501
201105413,"02/01/2020 12:00:00 AM","01/31/2020 12:00:00 AM",1800,11,"Northeast",1128,1,310,"BURGLARY","0344 1609",80,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"6900 N  FIGUEROA                     ST","",34.1276,-118.1872
212016878,"11/11/2021 12:00:00 AM","11/08/2021 12:00:00 AM",1941,20,"Olympic",2022,2,928,"THREATENING PHONE CALLS/LETTERS","0910 0421 1822",32,"M","H",922,"MTA - PURPLE LINE - WILSHIRE/WESTERN",511,"VERBAL THREAT","IC","Invest Cont",928,NA,NA,NA,"WILSHIRE","WESTERN",34.0617,-118.3091
221004804,"01/23/2022 12:00:00 AM","11/23/2020 12:00:00 AM",1435,10,"West Valley",1063,2,354,"THEFT OF IDENTITY","1822",61,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",354,NA,NA,NA,"18600    VENTURA                      BL","",34.1698,-118.5386
211821371,"12/10/2021 12:00:00 AM","12/10/2021 12:00:00 AM",1200,18,"Southeast",1832,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"104TH                        ST","WALL                         ST",33.9419,-118.2717
211015130,"11/30/2021 12:00:00 AM","11/29/2021 12:00:00 AM",2000,10,"West Valley",1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1822 0329 1300",56,"F","B",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"17700    SHERMAN                      WY","",34.2011,-118.5191
221913415,"08/19/2022 12:00:00 AM","08/17/2022 12:00:00 AM",2000,19,"Mission",1921,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",30,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"12500    HADDON                       AV","",34.2985,-118.4687
221207440,"03/05/2022 12:00:00 AM","03/05/2022 12:00:00 AM",430,12,"77th Street",1248,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"6500 S  HOOVER                       ST","",33.9792,-118.2893
211116507,"12/16/2021 12:00:00 AM","12/14/2021 12:00:00 AM",130,11,"Northeast",1109,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0385",36,"F","W",104,"DRIVEWAY",NA,"","IC","Invest Cont",331,NA,NA,NA,"5100    DAHLIA                       DR","",34.1395,-118.1997
201300873,"07/23/2020 12:00:00 AM","07/22/2020 12:00:00 AM",945,13,"Newton",1352,1,761,"BRANDISH WEAPON","1822 0906 1402 0907 1419 1407 0334",26,"M","H",101,"STREET",102,"HAND GUN","AA","Adult Arrest",761,998,NA,NA,"AVALON                       BL","VERNON                       AV",34.0039,-118.2653
211711931,"08/12/2021 12:00:00 AM","08/09/2021 12:00:00 AM",1,17,"Devonshire",1785,1,330,"BURGLARY FROM VEHICLE","1602 0397 0344",0,"X","X",221,"PUBLIC STORAGE",NA,"","IC","Invest Cont",330,NA,NA,NA,"18500    EDDY                         ST","",34.2295,-118.5367
211321046,"12/30/2021 12:00:00 AM","12/29/2021 12:00:00 AM",2000,13,"Newton",1371,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"BROADWAY","52ND                         PL",33.9947,-118.2783
